ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7d
ACGLN,947484,2025-11-28,0,8000.0,94.62,756960.0,1,0,0,EVP AND CFO,D,0001741826-25-000005,16.896824030816834,-0.0005820195903441305
ACGLN,947484,2025-12-12,0,28866.0,93.81,2707919.46,0,1,0,,I,0001227099-25-000007,16.95583454159538,-0.010370109151426493
ACGLN,947484,2025-12-12,0,175000.0,93.91,16434250.0,0,1,0,,I,0001227099-25-000007,16.95583454159538,-0.010370109151426493
ACGLN,947484,2025-12-15,0,8800.0,94.17,828696.0,0,1,0,,I,0001227099-25-000007,17.030000686645508,-0.02172641364151815
ACI,1646972,2025-10-16,0,100000.0,19.35,1935000.0000000002,1,0,0,EVP & Chief HR Officer,D,0001329101-25-000004,18.85424449715824,-0.02420108801178774
ACI,1646972,2025-10-16,0,230000.0,19.25,4427500.0,1,0,0,Chief Tech &Transformation Off,D,0001797932-25-000003,18.85424449715824,-0.02420108801178774
ACI,1646972,2025-10-17,0,17815.0,19.75,351846.25,1,0,0,SVP & Chief Accounting Officer,D,0001479490-25-000003,19.080454180589317,-0.031094053661200143
ACIC,1401521,2025-11-10,0,18409.0,11.86,218330.74,1,0,0,Chief Operating Officer,D,0001777165-25-000005,11.400284742198965,-0.04372931138576665
ACIW,935036,2025-11-10,0,4210.0,47.69,200774.9,1,0,0,Chief Technology Officer,D,0002014812-25-000003,48.97999954223633,-0.05226625964100879
ACLS,1113232,2025-12-11,0,3034.0,89.46,271421.63999999996,1,0,0,"EVP, Research, Dev. & Eng.",D,0001979418-25-000004,90.25,-0.06626042500757445
ACLS,1113232,2025-12-17,0,2000.0,86.05,172100.0,0,1,0,,D,0001385162-25-000004,86.05000305175781,-0.0470656932960455
ACLX,1786205,2025-10-03,0,4882.0,86.0,419852.0,1,0,0,CHIEF FINANCIAL OFFICER,D,0001193125-25-232216,82.94000244140625,0.03966723919319385
ACLX,1786205,2025-10-06,0,1064.0,86.22,91738.08,1,0,0,CHIEF FINANCIAL OFFICER,D,0001193125-25-232216,85.26000213623047,0.019821660446494062
ACLX,1786205,2025-10-15,0,5364.0,91.04,488338.56000000006,1,0,0,CHIEF FINANCIAL OFFICER,D,0001193125-25-240536,86.94999694824219,-0.030822316264957166
ACLX,1786205,2025-11-17,0,340.0,90.0,30600.0,1,0,0,CHIEF MEDICAL OFFICER,D,0001193125-25-284944,90.0,-0.18677775065104166
ACM,868857,2025-12-15,0,6000.0,98.85,593100.0,1,0,0,CHIEF LEGAL OFFICER,D,0001805823-25-000005,98.6928565081127,-0.015959624027467315
ACM,868857,2025-12-17,0,9502.0,97.01,921789.02,1,0,0,CHIEF LEGAL OFFICER,D,0001805823-25-000005,96.70902917548618,0.00402018624484586
ACM,868857,2025-12-17,0,193.0,98.35,18981.55,1,0,0,PRESIDENT,D,0001723099-25-000006,96.70902917548618,0.00402018624484586
ACM,868857,2025-12-17,0,17340.0,97.01,1682153.4000000001,1,0,0,PRESIDENT,D,0001723099-25-000006,96.70902917548618,0.00402018624484586
ACMR,1680062,2025-11-12,0,15000.0,32.76,491399.99999999994,1,0,0,See remarks,D,0001140361-25-042345,32.939998626708984,-0.10837880802402032
